,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
5,17/08/24,Valencia,Barcelona,1,2,A,1,1,D,,6,18,1,8,11,13,3,8,2,3,0,0
13,24/08/24,Barcelona,Ath Bilbao,2,1,H,1,1,D,,13,9,5,2,11,16,5,6,4,5,0,0
22,27/08/24,Vallecano,Barcelona,1,2,A,1,0,H,,8,22,4,5,17,11,6,6,3,1,0,0
29,31/08/24,Barcelona,Valladolid,7,0,H,3,0,H,,23,5,10,2,6,12,10,1,0,3,0,0
45,15/09/24,Girona,Barcelona,1,4,A,0,2,A,,9,20,4,9,13,4,1,6,3,2,0,1
59,22/09/24,Villarreal,Barcelona,1,5,A,1,2,A,,13,17,4,10,12,12,7,3,6,1,0,0
66,25/09/24,Barcelona,Getafe,1,0,H,1,0,H,,16,7,4,1,4,14,7,5,1,1,0,0
74,28/09/24,Osasuna,Barcelona,4,2,H,2,0,H,,11,12,6,5,13,3,5,8,2,2,0,0
87,06/10/24,Alaves,Barcelona,0,3,A,0,3,A,,11,14,2,8,13,8,11,3,2,2,0,0
98,20/10/24,Barcelona,Sevilla,5,1,H,3,0,H,,21,7,9,1,6,14,5,5,1,2,0,0
104,26/10/24,Real Madrid,Barcelona,0,4,A,0,0,D,,9,15,4,7,15,17,10,3,2,5,0,0
114,03/11/24,Barcelona,Espanol,3,1,H,3,0,H,,14,10,9,3,13,14,9,5,0,3,0,0
126,10/11/24,Sociedad,Barcelona,1,0,H,1,0,H,,14,11,6,0,17,6,7,6,3,1,0,0
132,23/11/24,Celta,Barcelona,2,2,D,0,1,A,,15,9,8,4,13,9,5,1,5,5,0,1
138,30/11/24,Barcelona,Las Palmas,1,2,A,0,0,D,,27,5,8,3,7,11,7,0,0,0,0,0
147,03/12/24,Mallorca,Barcelona,1,5,A,1,1,D,,6,20,1,9,13,13,2,5,4,3,0,0
151,07/12/24,Betis,Barcelona,2,2,D,0,1,A,,12,9,6,3,15,14,6,4,1,2,0,0
168,15/12/24,Barcelona,Leganes,0,1,A,0,1,A,,20,6,4,4,5,13,8,2,0,2,0,0
175,21/12/24,Barcelona,Ath Madrid,1,2,A,1,0,H,,19,5,7,4,11,8,11,3,0,3,0,0
194,18/01/25,Getafe,Barcelona,1,1,D,1,1,D,,10,21,4,5,9,9,2,10,3,2,0,0
208,26/01/25,Barcelona,Valencia,7,1,H,5,0,H,,22,7,11,2,10,12,14,4,0,1,0,0
215,02/02/25,Barcelona,Alaves,1,0,H,0,0,D,,11,3,4,0,8,20,5,2,5,2,0,0
228,09/02/25,Sevilla,Barcelona,1,4,A,1,1,D,,8,10,4,6,14,6,5,6,5,2,0,1
239,17/02/25,Barcelona,Vallecano,1,0,H,1,0,H,,14,9,5,4,11,9,4,5,2,3,0,0
244,22/02/25,Las Palmas,Barcelona,0,2,A,0,0,D,,10,15,2,5,13,4,5,3,1,1,0,0
256,02/03/25,Barcelona,Sociedad,4,0,H,2,0,H,,33,0,10,0,15,6,12,0,0,0,0,1
277,16/03/25,Ath Madrid,Barcelona,2,4,A,1,0,H,,7,13,2,6,10,11,6,6,1,3,0,0
278,27/03/25,Barcelona,Osasuna,3,0,H,2,0,H,,19,4,5,0,7,14,8,4,1,3,0,0
284,30/03/25,Barcelona,Girona,4,1,H,1,0,H,,21,4,9,2,8,11,10,2,0,1,0,0
293,05/04/25,Barcelona,Betis,1,1,D,1,1,D,,13,6,5,2,16,12,9,3,2,1,0,0
303,12/04/25,Leganes,Barcelona,0,1,A,0,0,D,,6,12,1,3,10,4,4,8,2,1,0,0
311,19/04/25,Barcelona,Celta,4,3,H,1,1,D,,18,11,6,8,10,13,4,1,2,2,0,0
320,22/04/25,Barcelona,Mallorca,1,0,H,0,0,D,,40,4,13,0,10,7,13,2,0,1,0,0
7,13/08/23,Getafe,Barcelona,0,0,D,0,0,D,,5,14,2,4,20,11,3,4,8,2,1,1
16,20/08/23,Barcelona,Cadiz,2,0,H,0,0,D,,23,10,10,1,9,22,10,2,4,3,0,0
25,27/08/23,Villarreal,Barcelona,3,4,A,2,2,D,,13,21,6,11,12,14,2,6,3,3,0,0
38,03/09/23,Osasuna,Barcelona,1,2,A,0,1,A,,11,9,3,4,6,16,8,5,1,3,1,0
43,16/09/23,Barcelona,Betis,5,0,H,2,0,H,,17,11,9,2,9,10,9,5,1,2,0,0
52,23/09/23,Barcelona,Celta,3,2,H,0,1,A,,15,13,6,7,10,11,2,3,2,1,0,0
60,26/09/23,Mallorca,Barcelona,2,2,D,2,1,H,,10,10,5,4,19,7,7,2,4,1,1,0
69,29/09/23,Barcelona,Sevilla,1,0,H,0,0,D,,18,12,5,3,11,15,13,3,2,3,0,0
88,08/10/23,Granada,Barcelona,2,2,D,2,1,H,,7,22,2,10,12,7,1,11,4,1,0,0
97,22/10/23,Barcelona,Ath Bilbao,1,0,H,0,0,D,,12,10,7,3,11,18,4,7,3,3,0,0
101,28/10/23,Barcelona,Real Madrid,1,2,A,1,0,H,,15,13,3,4,15,15,6,3,2,1,0,0
113,04/11/23,Sociedad,Barcelona,0,1,A,0,0,D,,13,12,6,4,16,8,8,3,3,3,0,0
125,12/11/23,Barcelona,Alaves,2,1,H,0,1,A,,11,8,6,1,11,10,2,1,2,1,0,0
129,25/11/23,Vallecano,Barcelona,1,1,D,1,0,H,,10,15,4,4,23,13,1,4,3,4,0,0
147,03/12/23,Barcelona,Ath Madrid,1,0,H,1,0,H,,13,9,2,4,17,12,7,2,5,4,0,0
